date,code,open,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2013-03-20,sh.000300,2526.9680,2610.1740,2525.0970,9070062200,91271022200.0000,3,0.005354,1,3.369263,0
2013-03-21,sh.000300,2611.5800,2614.9880,2610.1740,6955275600,71642665537.0000,3,0.004104,1,0.184431,0
2013-03-22,sh.000300,2612.2560,2618.3080,2614.9880,5564714100,55882142445.0000,3,0.003283,1,0.126963,0
2013-03-25,sh.000300,2628.4070,2613.0970,2618.3080,5626140200,58004930851.0000,3,0.003320,1,-0.199029,0
2013-03-26,sh.000300,2601.9640,2575.0500,2613.0970,6396296100,65306571624.0000,3,0.003774,1,-1.456007,0
2013-03-27,sh.000300,2575.7260,2583.5300,2575.0500,5690651700,58652246310.0000,3,0.003357,1,0.329313,0
2013-03-28,sh.000300,2535.9880,2499.3020,2583.5300,8757840500,84725899121.0000,3,0.005167,1,-3.260191,0
2013-03-29,sh.000300,2502.7820,2495.0830,2499.3020,5240213700,52055540480.0000,3,0.003091,1,-0.168807,0
2013-04-01,sh.000300,2486.4280,2493.1870,2495.0830,4734602200,47159820558.0000,3,0.002783,1,-0.075989,0
2013-04-02,sh.000300,2495.8430,2486.3910,2493.1870,5568415200,55637391748.0000,3,0.003273,1,-0.272579,0
2013-04-03,sh.000300,2493.8770,2483.5470,2486.3910,4556422100,45156719409.0000,3,0.002678,1,-0.114382,0
2013-04-08,sh.000300,2443.2400,2472.2990,2483.5470,5329677200,55249297714.0000,3,0.003132,1,-0.452902,0
2013-04-09,sh.000300,2477.2900,2489.4300,2472.2990,5238982400,54947035592.0000,3,0.003079,1,0.692912,0
2013-04-10,sh.000300,2487.9840,2485.3090,2489.4300,4750491300,51963820632.0000,3,0.002792,1,-0.165534,0
2013-04-11,sh.000300,2502.5000,2477.8760,2485.3090,4298995800,43039949368.0000,3,0.002526,1,-0.299082,0
2013-04-12,sh.000300,2476.3220,2462.1120,2477.8760,3991727800,40428047827.0000,3,0.002346,1,-0.636187,0
2013-04-15,sh.000300,2453.9670,2436.8180,2462.1120,4653973400,44084843341.0000,3,0.002734,1,-1.027327,0
2013-04-16,sh.000300,2419.5080,2459.5920,2436.8180,5528061300,53783255198.0000,3,0.003247,1,0.934576,0
2013-04-17,sh.000300,2457.8810,2458.4730,2459.5920,4469216400,46800831850.0000,3,0.002625,1,-0.045501,0
2013-04-18,sh.000300,2440.7070,2464.8510,2458.4730,4286070700,46270137159.0000,3,0.002518,1,0.259436,0
2013-04-19,sh.000300,2469.9510,2533.8270,2464.8510,7552087600,76723675264.0000,3,0.004436,1,2.798377,0
2013-04-22,sh.000300,2525.1130,2530.6700,2533.8270,6251188300,63027024091.0000,3,0.003672,1,-0.124593,0
2013-04-23,sh.000300,2532.2010,2449.4710,2530.6700,6065398200,61576157889.0000,3,0.003562,1,-3.208596,0
2013-04-24,sh.000300,2452.7810,2495.5790,2449.4710,6305091600,62189421706.0000,3,0.003703,1,1.882372,0
2013-04-25,sh.000300,2486.8570,2467.8750,2495.5790,6055792700,59891284466.0000,3,0.003557,1,-1.110127,0
2013-04-26,sh.000300,2477.7240,2447.3060,2467.8750,4712337800,46351986661.0000,3,0.002768,1,-0.833474,0
2013-05-02,sh.000300,2434.6030,2449.6390,2447.3060,4701608800,47200448204.0000,3,0.002759,1,0.095330,0
2013-05-03,sh.000300,2457.5430,2492.9120,2449.6390,6233009100,63267042656.0000,3,0.003657,1,1.766513,0
2013-05-06,sh.000300,2502.9780,2525.9830,2492.9120,6041878000,61767951099.0000,3,0.003544,1,1.326593,0
2013-05-07,sh.000300,2519.3640,2529.9380,2525.9830,5449064300,59244949469.0000,3,0.003196,1,0.156576,0
2013-05-08,sh.000300,2542.2660,2542.7980,2529.9380,5955429400,60309148841.0000,3,0.003493,1,0.508317,0
2013-05-09,sh.000300,2542.3740,2527.7940,2542.7980,6024014500,64438292561.0000,3,0.003533,1,-0.590065,0
2013-05-10,sh.000300,2519.5170,2540.8360,2527.7940,4881672800,50896689221.0000,3,0.002862,1,0.515944,0
2013-05-13,sh.000300,2542.4120,2530.7680,2540.8360,5409214700,55155093224.0000,3,0.003171,1,-0.396242,0
2013-05-14,sh.000300,2525.9980,2493.3380,2530.7680,5488006400,56144573527.0000,3,0.003218,1,-1.479005,0
2013-05-15,sh.000300,2493.9680,2506.9250,2493.3380,4418966000,47578585624.0000,3,0.002590,1,0.544938,0
2013-05-16,sh.000300,2501.1170,2552.7090,2506.9250,7079618200,76830436307.0000,3,0.004149,1,1.826299,0
2013-05-17,sh.000300,2550.4520,2592.0480,2552.7090,8185080100,83599367908.0000,3,0.004797,1,1.541073,0
2013-05-20,sh.000300,2597.1510,2609.6070,2592.0480,8633780300,94059415836.0000,3,0.005056,1,0.677412,0
2013-05-21,sh.000300,2607.3930,2614.8530,2609.6070,7150599400,75837813846.0000,3,0.004187,1,0.201030,0
2013-05-22,sh.000300,2613.4110,2618.0340,2614.8530,7419181700,78224126421.0000,3,0.004335,1,0.121648,0
2013-05-23,sh.000300,2604.9300,2582.8490,2618.0340,8482537000,81359908175.0000,3,0.004958,1,-1.343940,0
2013-05-24,sh.000300,2591.4190,2597.2280,2582.8490,6073966900,62831235051.0000,3,0.003550,1,0.556707,0
2013-05-27,sh.000300,2593.5220,2599.5870,2597.2280,6419508000,66701652802.0000,3,0.003751,1,0.090823,0
2013-05-28,sh.000300,2600.6320,2644.3590,2599.5870,8419611200,86756736777.0000,3,0.004915,1,1.722273,0
2013-05-29,sh.000300,2648.9270,2642.5610,2644.3590,7927770900,81953853231.0000,3,0.004627,1,-0.067988,0
2013-05-30,sh.000300,2633.9550,2634.3230,2642.5610,7014636800,71045065872.0000,3,0.004094,1,-0.311744,0
2013-05-31,sh.000300,2638.7100,2606.4260,2634.3230,6252853300,65904433688.0000,3,0.003648,1,-1.058981,0
2013-06-03,sh.000300,2605.9690,2602.6230,2606.4260,5977446800,63008705172.0000,3,0.003487,1,-0.145908,0
2013-06-04,sh.000300,2600.4990,2565.6660,2602.6230,6631575000,63139420045.0000,3,0.003868,1,-1.419992,0
2013-06-05,sh.000300,2565.3290,2560.5390,2565.6660,4563719300,47367057838.0000,3,0.002662,1,-0.199829,0
2013-06-06,sh.000300,2552.8170,2527.8450,2560.5390,5249652900,54448113429.0000,3,0.003061,1,-1.276844,0
2013-06-07,sh.000300,2526.9130,2484.1600,2527.8450,6103089400,61366173745.0000,3,0.003550,1,-1.728154,0
2013-06-13,sh.000300,2448.7170,2399.9370,2484.1600,6973006600,64081598112.0000,3,0.004056,1,-3.390398,0
2013-06-14,sh.000300,2404.4230,2416.7710,2399.9370,5596453400,53686779328.0000,3,0.003255,1,0.701434,0
2013-06-17,sh.000300,2422.7620,2403.8390,2416.7710,5039571100,51983757469.0000,3,0.002931,1,-0.535089,0
2013-06-18,sh.000300,2413.0880,2418.7450,2403.8390,4863037900,48792090467.0000,3,0.002828,1,0.620092,0
2013-06-19,sh.000300,2408.2800,2400.7650,2418.7450,5434626000,52979991053.0000,3,0.003119,1,-0.743370,0
2013-06-20,sh.000300,2386.1040,2321.4660,2400.7650,5520102000,52171735063.0000,3,0.003164,1,-3.303065,0
2013-06-21,sh.000300,2283.1510,2317.3940,2321.4660,5870579800,53486132980.0000,3,0.003365,1,-0.175407,0
2013-06-24,sh.000300,2308.0690,2171.2100,2317.3940,8659725900,73731930536.0000,3,0.004961,1,-6.308124,0
2013-06-25,sh.000300,2146.0530,2165.4210,2171.2100,10755488200,87090393952.0000,3,0.006161,1,-0.266628,0
2013-06-26,sh.000300,2170.3260,2168.2970,2165.4210,7925642600,67298430249.0000,3,0.004540,1,0.132825,0
2013-06-27,sh.000300,2172.8480,2160.7350,2168.2970,7540675300,62927082416.0000,3,0.004320,1,-0.348753,0
2013-06-28,sh.000300,2149.0300,2200.6390,2160.7350,7945132700,64106048718.0000,3,0.004551,1,1.846770,0
2013-07-01,sh.000300,2187.0920,2213.3170,2200.6390,5772622700,51874735216.0000,3,0.003322,1,0.576105,0
2013-07-02,sh.000300,2211.8030,2221.9840,2213.3170,6183885000,59632902046.0000,3,0.003558,1,0.391584,0
2013-07-03,sh.000300,2211.0440,2203.8280,2221.9840,6583602200,59536760190.0000,3,0.003775,1,-0.817108,0
2013-07-04,sh.000300,2187.1810,2221.9790,2203.8280,7258114500,67189379203.0000,3,0.004160,1,0.823618,0
2013-07-05,sh.000300,2227.3500,2226.8490,2221.9790,6182177500,58424400611.0000,3,0.003543,1,0.219179,0
2013-07-08,sh.000300,2194.4230,2163.6190,2226.8490,5478249300,49288252039.0000,3,0.003138,1,-2.839448,0
2013-07-09,sh.000300,2160.6990,2162.6690,2163.6190,4149443300,37246189870.0000,3,0.002377,1,-0.043906,0
2013-07-10,sh.000300,2163.0980,2224.0650,2162.6690,6114978100,54373757823.0000,3,0.003500,1,2.838899,0
2013-07-11,sh.000300,2232.1570,2326.6880,2224.0650,12579319200,111329812773.0000,3,0.007200,1,4.614211,0
2013-07-12,sh.000300,2319.0230,2275.3730,2326.6880,8973308200,82064555657.0000,3,0.005136,1,-2.205493,0
2013-07-15,sh.000300,2289.7620,2307.2970,2275.3730,7475788400,71796189674.0000,3,0.004279,1,1.403026,0
2013-07-16,sh.000300,2300.8300,2317.8480,2307.2970,6562415700,62085631916.0000,3,0.003272,1,0.457279,0
2013-07-17,sh.000300,2311.4430,2282.8360,2317.8480,6765524800,63229061677.0000,3,0.003372,1,-1.510538,0
2013-07-18,sh.000300,2272.9470,2245.3280,2282.8360,5714429200,51937235147.0000,3,0.002848,1,-1.643046,0
2013-07-19,sh.000300,2248.1330,2190.4780,2245.3280,7053528200,66179072656.0000,3,0.003515,1,-2.442844,0
2013-07-22,sh.000300,2170.0890,2202.1890,2190.4780,5328349500,48872947253.0000,3,0.002656,1,0.534629,0
2013-07-23,sh.000300,2211.5870,2265.8450,2202.1890,7480973100,69255423111.0000,3,0.003729,1,2.890579,0
2013-07-24,sh.000300,2253.3760,2249.1510,2265.8450,6959230700,69279825849.0000,3,0.003466,1,-0.736771,0
2013-07-25,sh.000300,2255.2230,2237.6830,2249.1510,6577431600,60558362762.0000,3,0.003275,1,-0.509871,0
2013-07-26,sh.000300,2226.4290,2224.0080,2237.6830,4894109800,45636069902.0000,3,0.002437,1,-0.611125,0
2013-07-29,sh.000300,2205.0830,2175.9700,2224.0080,5460092500,49624613440.0000,3,0.002719,1,-2.159978,0
2013-07-30,sh.000300,2184.0070,2189.3880,2175.9700,5519362300,50907227289.0000,3,0.002748,1,0.616643,0
2013-07-31,sh.000300,2211.7500,2193.0210,2189.3880,4832705500,46723493389.0000,3,0.002406,1,0.165939,0
2013-08-01,sh.000300,2206.0040,2245.3640,2193.0210,6260399700,58944765673.0000,3,0.003117,1,2.386800,0
2013-08-02,sh.000300,2263.4950,2247.2630,2245.3640,6089089300,58459999450.0000,3,0.003032,1,0.084571,0
2013-08-05,sh.000300,2249.9760,2278.3290,2247.2630,5534215100,53623068581.0000,3,0.002754,1,1.382400,0
2013-08-06,sh.000300,2270.6720,2293.6410,2278.3290,7374689500,68993574807.0000,3,0.003669,1,0.672072,0
2013-08-07,sh.000300,2292.3790,2280.6230,2293.6410,7304869500,69560482114.0000,3,0.003634,1,-0.567572,0
2013-08-08,sh.000300,2277.2530,2276.7820,2280.6230,5309843000,52710276666.0000,3,0.002642,1,-0.168422,0
2013-08-09,sh.000300,2288.5100,2286.0100,2276.7820,6460001700,62663979060.0000,3,0.003213,1,0.405310,0
2013-08-12,sh.000300,2296.2200,2352.7940,2286.0100,9786321600,94038910336.0000,3,0.004868,1,2.921419,0
2013-08-13,sh.000300,2352.8830,2359.0680,2352.7940,7839363600,71178520240.0000,3,0.003891,1,0.266669,0
2013-08-14,sh.000300,2362.6190,2349.0800,2359.0680,7594212800,71338219589.0000,3,0.003769,1,-0.423389,0
2013-08-15,sh.000300,2348.8390,2321.5760,2349.0800,6195185300,59411203587.0000,3,0.003073,1,-1.170848,0
2013-08-16,sh.000300,2314.2610,2304.1440,2321.5760,12036956300,104026773370.0000,3,0.005971,1,-0.750864,0
2013-08-19,sh.000300,2286.2030,2331.4300,2304.1440,7248322400,67064925390.0000,3,0.003558,1,1.184209,0
2013-08-20,sh.000300,2325.8620,2312.4650,2331.4300,7308634500,67589707172.0000,3,0.003587,1,-0.813443,0
2013-08-21,sh.000300,2320.5840,2308.5890,2312.4650,5500738400,50886495497.0000,3,0.002700,1,-0.167612,0
2013-08-22,sh.000300,2302.6680,2303.9320,2308.5890,5533810400,51686310590.0000,3,0.002716,1,-0.201735,0
2013-08-23,sh.000300,2314.8660,2286.9290,2303.9320,6896713300,65459845296.0000,3,0.003385,1,-0.737996,0
2013-08-26,sh.000300,2294.7590,2335.6160,2286.9290,7037104300,66541009856.0000,3,0.003454,1,2.128925,0
2013-08-27,sh.000300,2332.8000,2340.8810,2335.6160,6599033300,62575377643.0000,3,0.003239,1,0.225428,0
2013-08-28,sh.000300,2326.0960,2328.0560,2340.8810,8925617400,80965562365.0000,3,0.004381,1,-0.547879,0
2013-08-29,sh.000300,2338.5640,2318.3110,2328.0560,6608541500,59719882399.0000,3,0.003244,1,-0.418584,0
2013-08-30,sh.000300,2315.9130,2313.9100,2318.3110,8765451500,76695994654.0000,3,0.004302,1,-0.189842,0
2013-09-02,sh.000300,2319.9570,2320.3440,2313.9100,7951024900,73575869316.0000,3,0.003902,1,0.278061,0
2013-09-03,sh.000300,2326.2310,2354.5020,2320.3440,8055400500,72663978650.0000,3,0.003953,1,1.472108,0
2013-09-04,sh.000300,2352.5370,2350.6990,2354.5020,7872576300,68509013842.0000,3,0.003864,1,-0.161520,0
2013-09-05,sh.000300,2350.9270,2341.7350,2350.6990,6295138300,59606065186.0000,3,0.003085,1,-0.381328,0
2013-09-06,sh.000300,2336.7670,2357.7820,2341.7350,7334011600,63916893626.0000,3,0.003589,1,0.685256,0
2013-09-09,sh.000300,2374.2600,2440.6090,2357.7820,14988964000,127299546171.0000,3,0.007336,1,3.512916,0
2013-09-10,sh.000300,2446.4540,2474.8940,2440.6090,15485599200,130648129418.0000,3,0.007579,1,1.404779,0
2013-09-11,sh.000300,2483.7910,2482.8890,2474.8940,16691497400,142830288492.0000,3,0.008169,1,0.323039,0
2013-09-12,sh.000300,2480.4680,2507.4550,2482.8890,14517317500,126115528291.0000,3,0.007105,1,0.989418,0
2013-09-13,sh.000300,2502.5400,2488.9020,2507.4550,11077504900,98275004927.0000,3,0.005421,1,-0.739913,0
